,youtuber,url,category
0,Nick Jr.,https://www.youtube.com/user/nickelodeonjuniorfr ,Film & Animation
1,SQUEEZIE,https://www.youtube.com/user/aMOODIEsqueezie ,Gaming
2,Swan The Voice - Néo & Swan,https://www.youtube.com/channel/UCzYC9ss2P77Ry2LzIDL5Xsw ,Entertainment
3,DORETDEPLATINE,https://www.youtube.com/user/julsaintjean ,Music
4,FilmsActu,https://www.youtube.com/user/Filmsactu ,Film & Animation
5,L'Algerino,https://www.youtube.com/user/LalgerinoOfficiel ,Music
6,Soprano Officiel,https://www.youtube.com/user/officielsoprano ,Music
7,The Voice : la plus belle voix,https://www.youtube.com/channel/UCQRELbX0H5FCokIFxOAsHFA ,Entertainment
8,SkyrockFM,https://www.youtube.com/user/SkyrockFMlaRadio ,Music
9,Rémi GAILLARD,https://www.youtube.com/user/nqtv ,Comedy
10,Anas,https://www.youtube.com/user/MrLebledart ,Gaming
11,Lama Faché,https://www.youtube.com/channel/UCH0XvUpYcxn4V0iZGnZXMnQ ,Education
12,Amixem,https://www.youtube.com/user/FPSCoopGameplays ,Gaming
13,Peppa Pig Français - Chaîne Officielle,https://www.youtube.com/channel/UCXptamDYEVcU4JCio30hYTw ,Film & Animation
14,Aya Nakamura,https://www.youtube.com/channel/UC-69vhXlCa3XHbF8JHCQHfg ,Music
16,GameMixTreize,https://www.youtube.com/user/GameMixTreize ,Gaming
17,Lartiste Officiel,https://www.youtube.com/user/lartisteofficiel ,Music
18,Niska Officiel,https://www.youtube.com/user/MineursEnrages ,Film & Animation
19,Universal Music France,https://www.youtube.com/user/UniversalMusicFrance ,Music
20,BRICO SYMPA,https://www.youtube.com/channel/UC9TJezP2M1ADmUYVl8hrQ2A ,Howto & Style
21,Scorpio Music,https://www.youtube.com/user/scorpiodigital ,Music
22,PNL,https://www.youtube.com/channel/UCtBjt766LG9EDVKZx4Q4IHw ,Music
23,Comptines et chansons,https://www.youtube.com/user/comptines ,Film & Animation
24,Maître GIMS,https://www.youtube.com/channel/UCCB1Byx5yTbLpQaV-rlfmtA ,Music
25,Les Anges - La chaîne officielle,https://www.youtube.com/channel/UC_ATXX0ACFwsGvJsFJBoLMQ ,People & Blogs
26,Soolking Officiel,https://www.youtube.com/channel/UCz6JjQtnK9XjMwKuqlEkRxw ,Music
27,Mhd Officiel,https://www.youtube.com/channel/UCvebOuGWNvuUpZBzpV_Bc9Q ,Music
28,L'atelier de Roxane,https://www.youtube.com/channel/UC3rxwrZSiTp6Kk2RXcyHtCA ,Howto & Style
