,text,votes
0,C'est un nain de 10 pied 3m pas de 10m,0
1,Cool le t shirt y'en a pour les non puceaux,0
2,4:50 c pour sa que tu fait des musique maintenant,1
3,4:53 et dire qu'il a fait un album 4 ans après 👏💯,1
4,Regardez cette vidéo après la sortie de son album 😂😂,0
5,"C'est pas un nain de dix mètre, c'est un nain de 10 pieds (~3 mètres) ._.",3
6,"JE PRÉFÈRERAIS ÊTRE ÉCRIVAIN
SQUEEZIE 2020: voici mon premier album",1
7,Voici aussi un livre 📚,0
8,3:41 désolée les math mais tout le monde préfère apprendre sur le passé que faire des calculs de m*rde moi je fais partie de la team histoire que math 😂🥀🙋,0
9,"5:20
Si tu perd le bras, tu perd obligatoirement ta main, idem pour la jambe.
Donc je pref juste perdre le pied et la main",0
10,"nouveau x cliché : ""le""ou""la""covid ?",0
11,Moi je dors tout le temps en cours,0
12,"XD, quand tu disais que tu serais mal partie pour chanter à cause de t'a voix ! Maintenant tu est et un peu  rappeurs et tu sort un disque",0
13,"Vivre isolé, cc 202",0
14,"2016: 4:52 “on est mal partit vu comme je chante mal”
2020: sort un album

Hahahaha😂 les temps change 
Trop hâte à la sortie de l’album 🩸✊🏽",4
15,ENFIN UN FAN DE GLAND YES !?,0
16,7:20 Squeezie du future préférera etre un chien .,0
17,4:45 4 ans plus tard il sort son première album,2
18,qui est la en confinement ?❤️😭,0
19,moi jais une question tu commansse par les seriale avan le lais ou le lais avan les seriale?,0
20,J'arrive dit que la musique s'est pas pour lui alors que dans un mois il va sortir un album😂😂,0
21,4:50 il a sorti un album aujourd'hui,0
22,"4:05 ( Je chante mal en 2016 
Nouveau album de squeezie en 2020 ) 
Yuhoo quelle revolution XD",2
23,"4:52 ouais .. et dire que maintenant il a fais un album
et il chante bien !",1
24,Lol il chante bien XD,0
25,4:52 et maintenant il nous sort un album😂,0
26,7:22  Ouais comme dumbo,0
27,4:51 « on est mal parti vu comme je chante mal » 5 ans après il sort un album,1
28,"Squeezie de 2015 : Pour être chanteur c'est mal partit car je chante mal !

Squeezie de 2020 : Je sort mon premier album en septembre !",2
29,4:46 si seulement il savait qu'il va sortir un album,0
30,4:46 mdr et la vidéo qui sort le jour ou je regarde celle la il annonce son album,0
31,Oui tu est un gros PERVERE,0
32,Moi je deteste l’histoire 😅 sa m’ennuie car notre prof nous donner une fiche avec les reponses du contrôle de 5 questions et le lendemain c’etais les memes questions on avait juste a apprendre 5 mots 🤣,0
33,"A la question de la nourriture, ça dit qu'on prend pas de poids mais ça dit pas qu'on en perd pas, ducoup si tu fait du sport tu perds des kilos mai tu les regagne pas et, ducoup tu va vite tombé en anorexie. Donc  91% des gens sont teubé ( sauf si il veulent être anorexique.",1
34,Bon la vidéo date j'en convient xD mais à 4:28 manger tt ce que tu veut sans prendre de poid ou manger ta nourriture favorites jusqu'à la fin de tes jours bah manger tt ce que je veut sans prendre de poid car comme ça je peut donc manger ma bouffe préférée mais cette fois ci sans prendre de poid :),0
35,JE RÂLE T O U T   L E    T E M P S DONC M ENPÊCHER DE RÂLER C EST UN CRIME 😂😂😂😂,0
36,Yeaaahhhhhhh être un chat😂😁,0
37,L'aven dernier les gens n'ont pas pensé que le pal est un zoo avec des atraction,0
38,Yo tout le monde c squeezie,0
39,Quand il y a l’écran bleu lisez tout ce qui est écrit et vous verrez le vrai visage de squeezie,1
40,j avais pas remarqué 😂,0
41,C débile car ci tu perd un pied et un bras dans tout les cas tu perd une main 🖐😂🧐,0
42,Si squeezie savait qu'il allait faire des clips sa réponse serait différente,0
43,"3:04, 69%, est ce que ça veut dire quelque chose ? 🧐",0
44,"Moi, je préfère avoir mon cerveau dans un robot comme ça je suis imortel",0
45,Est tu un homme 🤔🤔,0
46,2:33 le gamin au short de pokémon 😏😉,0
47,""" vue comme je chante mal"" dire que en septembre 2020 il va sortir un album",0
48,3:11 🤡,0
49,"6:14 

Les manette :    Euuuuu ses ultra utile",0
50,6:12,0
51,team 2020 ?,0
52,2020 c de la merd 💩💩😂😭😭,0
53,8:17 ils préfèrent action park si vous voyez ce que je veux dire 🤣,0
54,Aaaaction Paaaark  🤣🤣🤣🤣🤣,0
55,Bah être célèbre c'est être riche,0
56,Qui regarde sa pendant le Putain de covid,0
57,Tu devrais te voir dans le futur tu chante bien,1
