,videoId,channelId,channelTitle,videoTitle,videoDescription,categoryId,videoTags,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,loywW6RD1ts,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,"SI CELA N’AVAIT PAS ÉTÉ FILMÉ, PERSONNE N’Y AURAIT CRU … !","Voici 10 moments parfaitement inattendus de la vie ! Aujourd’hui, nous allons vous faire assister à des moments inattendus vécus par certaines personnes, qui vont tenter de tromper votre cerveau. Vous devrez peut-être même les regarder deux fois pour bien comprendre ce qui se passe devant vos yeux.  Sources : https://anotepad.com/notes/bkmf4arm.➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com",24,si cela n'avait pas été filmé personne n'y aurait cru si cela n'avait pas été filmé personne n'y aurait cru moments inattendus fails compilation moments moments drôles séquences filmées en direct à la télévision par une caméra essayez de ne pas rire requin vidéos drôles drôle qui fait rire funny fails amusant,fr,fr,44229,2793,121,0,184
1,2XggGuCGQN0,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,99 CHOSES QUI N’ARRIVENT QU’AU LIBAN !,"Aujourd’hui, nous allons parler de 99 choses qui n’arrivent qu’au Liban et vous verrez, c’est un pays surprenant ! Sources : https://anotepad.com/notes/rncat8x6.➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com",24,choses qui n’arrivent qu’au Liban Liban liban explosion libanais liban aujourd’hui les 10 top 10 10 lama faché recommandations curiosités dans le monde du monde liban news liban mariage liban guerre liban Macron liban Beyrouth liban actualité liban ou aller quel liban liban comment aider liban quoi visiter liban a paris libanaise لبنان Lebanon,fr,fr,49026,3099,130,0,437
2,nIWwb14TcJM,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,"SI CES 15 MOMENTS N'ETAIENT PAS FILMÉS, PERSONNE N'Y AURAIT CRU !","Il arrive parfois que des situations tout à fait incroyables soient filmées par une caméra. Aujourd’hui, vous découvrirez, entre autres, des saumons qui traversent une route inondée, un éléphant très doué qui réalise son autoportrait avec brio, et même un cheval sauvage qui s’attaque à un alligator. .➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.Source :  https://anotepad.com/notes/h26bdmye.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com",24,personne n'y aurait cru si ce n'était pas filmé moments filmé par la caméra filmé incroyable moments drôles lama faché videos séquences vidéos que vous ne croirez pas dans le monde du monde,fr,fr,95902,4676,167,0,211
3,5RsN75HCVuM,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,LES 10 RECORDS DU MONDE D'ANIMAUX LES PLUS IMPRESSIONNANTS !,"Aujourd’hui, nous allons voir le plus long chat du monde, la plus grosse grenouille du monde, le plus grand poisson rouge du monde, le lapin aux plus longues oreilles et bien d’autres animaux aux records fous ! ➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.Source :  https://anotepad.com/notes/h26bdmye.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com",24,Animaux records fous records animaux lama faché record du monde le plus animaux de la ferme animaux rigolo chien le plus grand du monde chat le plus gros du monde du monde au monde top 10 animaux les plus,fr,fr,58303,3100,138,0,204
4,U7hQGaJiVsU,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,VOUS RAPPELEZ VOUS DU GREAT KHALI ? REGARDEZ CE QU'IL EST DEVENU AUJOURD'HUI,"The Great Khali ! Comment ce jeune homme avec sa taille surhumaine a pu quitter son petit village d’Inde pour devenir une incroyable star aux etats unis ? Vous découvrirez aujourd'hui  l’histoire de ce combattant hors du commun, aussi bien par ses performances sportives que son physique.➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.Source :  https://anotepad.com/notes/t9rhtax6.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com",24,The Great Khali great khali catch wwe lama faché catch wwe the Great Khali femme the Great Khali taille the Great Khali debut stars du catch évolution stars,fr,fr,109167,5323,155,0,168
5,0Yse91dYw9w,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,UN PLONGEUR SOUS MARIN DÉCOUVRE UN INCROYABLE TRESOR AFRICAIN...,"Parmi toutes les dynasties qui ont régnées en Egypte, il y en a une qui demeure jusqu’à présent, très peu connue. Il s’agit de l'Empire Kouch, 25e dynastie d’Egypte et qui avait la particularité d’être uniquement nubienne, prenant son origine sur ce qui est aujourd’hui le Soudan. Cette lignée de pharaons noirs, reste donc très peu connue du grand public, bien que cette dynastie ait été l’une des plus marquantes et des plus riches en Egypte. Longtemps ignorée par les archéologues, cette glorieuse civilisation nous livre aujourd’hui ses secrets, ainsi que ses fabuleux trésors..➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.Source :  https://anotepad.com/notes/t9rhtax6.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com",24,incroyable trésor trésor africain trésor sous marin plongeur lama faché top 10 Egypte Egypte antique secrets egypte le prince d'egypte egypte ancienne pyramide d'egypte egypte histoire pyramide de kheops,fr,fr,106131,5943,161,0,821
6,jRp4x-RbesE,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,15 ALIMENTS DANGEREUX QUE NOUS MANGEONS TOUJOURS !,"Haggis écossais aux tripes de mouton ou fromage italien infesté de vers, certains plats sont en effet, vraiment très loin d’être appétissants, et peuvent même se révéler nocifs pour la santé. Préparez-vous aujourd’hui à découvrir les 15 aliments dangereux, que nous mangeons pourtant toujours..➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.Source :  https://anotepad.com/notes/t9rhtax6.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com",24,aliments dangereux que nous mangeons toujours aliments qui peuvent vous tuer lama faché aliments toxiques top 10 top 5 aliments à éviter beurre surimi fugu akee casu marzu sannakji aliments anti inflammatoire ne pas manger quels sont les aliments à éviter,fr,fr,231129,8508,374,0,554
7,ENf0YNzR0kE,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,QUE SONT DEVENUS LES ACTEURS DE H ?,"Vous rappelez vous de la série H ? Diffusée entre le 24 octobre 1998 et le 20 avril 2002 sur la chaine Canal+, H est devenu en très peu de temps la série incontournable en hexagone, ouvrant la voie à ses acteurs vers la célébrité et le succès. Aujourd’hui encore, on se rappelle avec une tendresse nostalgique des sympathiques personnages de la série et de leurs joyeuses péripéties dans l’hôpital le plus déjanté de France. Mais 18 ans après la fin de la fameuse sitcom, que sont devenus ses acteurs fétiches ? Alors installez-vous bien confortablement, car aujourd’hui, nous allons découvrir ce que sont devenus les charismatiques acteurs de H !.➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.Source :  https://anotepad.com/notes/t9rhtax6.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com",24,série H acteurs série H Jamel Debbouze série h avec jamel debbouze serie h eric et ramzy serie h ou regarder serie h une histoire de série h saison 1 serie h episode complet jamel debbouze main jamel debbouze femme jamel debbouze bras eric et ramzy eric et ramzy film eric et ramzy best of,fr,fr,53876,3115,83,0,189
8,hjPPPMe9vtA,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,LES MAISONS QUE PERSONNE NE VEUT ACHETER MÊME PAS POUR UN EUROS !,"Figurez-vous, qu'il existe dans certains recoins du globe, des maisons que personne n'achèterait même pas pour bien moins que leur valeur! Oui oui, elles existent! Ces maisons, malgré leur beauté, leur taille et leur architecture  font fuir tout le monde, et c'est pas du tout à cause d'un voisin trop bruyant ! .➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.Source :  https://anotepad.com/notes/t9rhtax6.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com",24,maisons personne ne veut acheter même pour un euros maisons à vendre 10 maisons que personne ne veut acheter lama faché maison de luxe la maison la plus belle du monde lama faché maison 1 euros maison de luxe les plus grandes maisons comment acheter maison abandonnée top 10 acheter maison à vendre à louer,fr,fr,135128,5305,180,0,158
9,8FtqrczrqDs,UCH0XvUpYcxn4V0iZGnZXMnQ,Lama Faché,15 FOIS OÙ LES HUMAINS ONT SAUVÉ DES ANIMAUX !,"Dans cette vidéo, nous allons évoquer 15 histoires où nos amis les bêtes, sauvés par des hommes, font part de leur gratitude de manière touchante ou affectueuse..➤ Eureka : https://goo.gl/tPrHPg ✅.➤ Visiter notre Site Web : http://lamafache.com  ✅.Source :  https://anotepad.com/notes/nrtw7t3f.S’abonner à la chaîne : https://goo.gl/KOb7Ns.For copyright matters please send  an email to : contact@lamafache.com#animaux #histoirechoc",24,animaux humains sauvent animaux top 10 animaux drole animaux mignons soigneur Sauvetage sauver les animaux vidéo sur les animaux animaux héros animaux qui sauvent les gens le plus touchant incroyable sauvetage d'animaux animaux étonnants héros de la vie réelle personnes qui sauvent les animaux faits intéressants,fr,fr,101746,5597,130,0,186
